quote_id,partner_id,claim_id,vehicle_id,yard_id,quote_date,quoted_tow_price,quoted_daily_storage_rate,free_storage_days,expected_days_in_yard,expected_billable_storage_days,estimated_total_cost_to_partner,estimated_salvage_value,net_expected_recovery,competitor_estimated_total_cost,price_gap_vs_competitor,partner_price_sensitivity_score,yard_capacity_utilization,predicted_acceptance_probability,accepted_flag,lost_reason,expected_margin,recommended_tow_price,recommended_daily_storage_rate,pricing_strategy
QTE000456,P037,CLM001544,VEH001544,YARD_OKC_01,2025-01-17,380,26,3,75,72,2252,2417,165,2256,-4,80,0.89,0.50,1,accepted,932,350,23,partner_retention
QTE000457,P019,CLM005379,VEH005379,YARD_DAL_01,2025-04-28,272,21,7,60,53,1385,500,-885,1366,19,78,1.15,0.44,0,price_too_high,525,250,19,partner_retention
QTE000458,P023,CLM006858,VEH006858,YARD_HOU_01,2025-06-22,241,26,7,45,38,1229,6666,5437,1229,0,61,0.86,0.74,1,accepted,639,248,27,margin_max
QTE000459,P006,CLM004871,VEH004871,YARD_AUS_01,2025-04-22,343,39,5,27,22,1201,13656,12455,1109,92,52,0.89,0.75,1,accepted,711,353,41,capacity_control
QTE000460,P037,CLM000383,VEH000383,YARD_DAL_01,2025-05-28,266,22,3,43,40,1146,500,-646,1148,-2,80,0.94,0.47,1,accepted,623,245,20,balanced
QTE000461,P037,CLM001958,VEH001958,YARD_OKC_01,2025-03-18,389,19,3,49,46,1263,5231,3968,1218,45,80,0.98,0.48,0,slow_pickup,300,358,17,partner_retention
QTE000462,P036,CLM007557,VEH007557,YARD_OKC_01,2025-05-01,320,29,5,27,22,958,6803,5845,967,-9,70,1.12,0.59,0,price_too_high,421,330,30,balanced
QTE000463,P023,CLM008506,VEH008506,YARD_HOU_01,2025-03-22,425,26,7,85,78,2453,5976,3523,2204,249,61,0.89,0.64,0,storage_fee_too_high,869,438,27,acceptance_max
QTE000464,P040,CLM000832,VEH000832,YARD_DAL_01,2025-03-10,310,32,7,42,35,1430,13907,12477,1415,15,48,0.77,0.79,1,accepted,858,319,33,partner_retention
QTE000465,P028,CLM001365,VEH001365,YARD_OKC_01,2025-04-02,403,40,0,43,43,2123,14043,11920,2595,-472,27,0.82,0.97,1,accepted,1377,415,42,margin_max
QTE000466,P028,CLM004292,VEH004292,YARD_AUS_01,2025-06-11,357,36,0,33,33,1545,6267,4722,1500,45,27,0.48,0.89,1,accepted,1004,368,37,balanced
QTE000467,P023,CLM001387,VEH001387,YARD_AUS_01,2025-06-13,271,27,7,33,26,973,6118,5145,1010,-37,61,0.64,0.73,0,price_too_high,503,279,28,balanced
QTE000468,P037,CLM009453,VEH009453,YARD_DAL_01,2025-07-10,279,20,3,28,25,779,11302,10523,733,46,80,0.63,0.54,1,accepted,289,257,18,partner_retention
QTE000469,P035,CLM004834,VEH004834,YARD_HOU_01,2025-03-22,335,29,3,92,89,2916,1338,-1578,2429,487,70,0.97,0.36,0,competitor_relationship,1461,345,30,balanced
QTE000470,P023,CLM005103,VEH005103,YARD_HOU_01,2025-01-20,278,32,7,21,14,726,5694,4968,935,-209,61,0.92,0.73,1,accepted,312,286,33,acceptance_max
QTE000471,P035,CLM000830,VEH000830,YARD_DAL_01,2025-06-07,334,28,3,68,65,2154,8965,6811,2216,-62,70,0.77,0.61,0,competitor_relationship,1033,344,29,balanced
QTE000472,P015,CLM008956,VEH008956,YARD_DAL_01,2025-05-29,360,25,3,29,26,1010,500,-510,1089,-79,18,0.83,0.95,1,accepted,441,371,26,balanced
QTE000473,P023,CLM001998,VEH001998,YARD_OKC_01,2025-05-17,414,26,7,59,52,1766,1975,209,1637,129,61,0.89,0.66,1,accepted,731,426,27,balanced
QTE000474,P028,CLM003882,VEH003882,YARD_AUS_01,2025-03-24,443,40,0,32,32,1723,18724,17001,1589,134,27,0.48,0.95,1,accepted,1036,456,42,margin_max
QTE000475,P037,CLM001152,VEH001152,YARD_AUS_01,2025-03-18,238,24,3,17,14,574,7400,6826,613,-39,80,0.76,0.53,1,accepted,275,219,22,capacity_control
QTE000476,P013,CLM005609,VEH005609,YARD_AUS_01,2025-03-16,335,26,0,83,83,2493,3168,675,2601,-108,47,0.76,0.77,1,accepted,1234,345,27,balanced
QTE000477,P004,CLM004910,VEH004910,YARD_DAL_01,2025-06-10,414,26,0,79,79,2468,12298,9830,2873,-405,69,0.67,0.70,1,accepted,1102,426,27,capacity_control
QTE000478,P015,CLM008098,VEH008098,YARD_AUS_01,2025-07-07,419,24,3,54,51,1643,500,-1143,1514,129,18,0.94,0.89,1,accepted,646,432,25,balanced
QTE000479,P007,CLM004212,VEH004212,YARD_AUS_01,2025-04-26,317,22,3,70,67,1791,500,-1291,1849,-58,44,0.81,0.78,0,storage_fee_too_high,678,327,23,capacity_control
QTE000480,P011,CLM003865,VEH003865,YARD_DAL_01,2025-03-20,348,32,7,29,22,1052,8598,7546,1092,-40,78,0.70,0.57,1,accepted,409,320,29,acceptance_max
QTE000481,P034,CLM004491,VEH004491,YARD_HOU_01,2025-05-30,235,23,5,84,79,2052,500,-1552,2212,-160,63,0.54,0.58,1,accepted,966,242,24,capacity_control
QTE000482,P024,CLM005048,VEH005048,YARD_AUS_01,2025-03-30,280,28,0,67,67,2156,1029,-1127,1951,205,22,0.76,0.86,1,accepted,1296,288,29,margin_max
QTE000483,P020,CLM007025,VEH007025,YARD_OKC_01,2025-02-26,550,46,0,59,59,3264,6843,3579,3324,-60,34,0.66,0.87,1,accepted,2011,566,48,capacity_control
QTE000484,P013,CLM005804,VEH005804,YARD_DAL_01,2025-06-04,315,34,0,37,37,1573,13357,11784,1374,199,47,0.67,0.77,1,accepted,1029,324,35,capacity_control
QTE000485,P007,CLM002275,VEH002275,YARD_AUS_01,2025-05-01,247,19,3,35,32,855,2783,1928,771,84,44,0.96,0.75,1,accepted,380,254,20,capacity_control
QTE000486,P037,CLM002637,VEH002637,YARD_OKC_01,2025-03-02,366,19,3,45,42,1164,500,-664,1232,-68,80,0.71,0.48,1,accepted,266,337,17,balanced
QTE000487,P003,CLM003796,VEH003796,YARD_OKC_01,2025-03-12,405,24,7,43,36,1269,9790,8521,1244,25,67,0.64,0.62,1,accepted,482,417,25,balanced
QTE000488,P003,CLM001824,VEH001824,YARD_AUS_01,2025-04-21,364,24,7,23,16,748,11052,10304,773,-25,67,0.73,0.63,1,accepted,257,375,25,balanced
QTE000489,P025,CLM004224,VEH004224,YARD_HOU_01,2025-06-24,275,21,0,76,76,1871,500,-1371,1994,-123,88,0.65,0.44,0,storage_fee_too_high,923,253,19,acceptance_max
QTE000490,P014,CLM005533,VEH005533,YARD_HOU_01,2025-02-25,319,18,0,64,64,1471,500,-971,1251,220,65,0.89,0.57,1,accepted,562,329,19,acceptance_max
QTE000491,P037,CLM000072,VEH000072,YARD_AUS_01,2025-07-10,383,21,3,42,39,1202,6224,5022,1066,136,80,1.15,0.39,0,storage_fee_too_high,375,352,19,capacity_control
QTE000492,P035,CLM008193,VEH008193,YARD_HOU_01,2025-06-03,279,28,3,28,25,979,11312,10333,1135,-156,70,0.60,0.62,1,accepted,503,287,29,acceptance_max
QTE000493,P040,CLM006026,VEH006026,YARD_OKC_01,2025-06-16,344,33,7,52,45,1829,10455,8626,1975,-146,48,0.71,0.77,0,competitor_relationship,1091,354,34,balanced
QTE000494,P003,CLM001367,VEH001367,YARD_DAL_01,2025-03-16,325,31,7,55,48,1813,500,-1313,1774,39,67,0.93,0.54,1,accepted,1053,335,32,acceptance_max
QTE000495,P040,CLM006910,VEH006910,YARD_OKC_01,2025-01-01,350,28,7,26,19,882,15427,14545,892,-10,48,0.89,0.80,1,accepted,389,360,29,balanced
QTE000496,P037,CLM005532,VEH005532,YARD_AUS_01,2025-03-11,295,23,3,23,20,755,1666,911,679,76,80,0.82,0.46,0,storage_fee_too_high,325,271,21,balanced
QTE000497,P026,CLM000474,VEH000474,YARD_AUS_01,2025-04-22,329,20,0,57,57,1469,1000,-469,1617,-148,96,0.53,0.39,1,accepted,577,303,18,capacity_control
QTE000498,P010,CLM007066,VEH007066,YARD_OKC_01,2025-05-20,306,49,14,45,31,1825,12061,10236,1948,-123,25,0.93,0.97,1,accepted,1207,315,51,margin_max
QTE000499,P037,CLM001301,VEH001301,YARD_AUS_01,2025-01-11,328,22,3,63,60,1648,507,-1141,1625,23,80,0.54,0.47,0,price_too_high,665,302,20,balanced
QTE000500,P035,CLM006599,VEH006599,YARD_AUS_01,2025-05-31,361,31,3,13,10,671,8220,7549,549,122,70,0.65,0.56,0,storage_fee_too_high,275,372,32,capacity_control
QTE000501,P028,CLM008538,VEH008538,YARD_DAL_01,2025-06-06,305,36,0,35,35,1565,9953,8388,1718,-153,27,0.72,0.94,1,accepted,1060,314,37,balanced
QTE000502,P035,CLM008323,VEH008323,YARD_AUS_01,2025-01-10,328,24,3,59,56,1672,1196,-476,1706,-34,70,0.82,0.55,1,accepted,861,338,25,acceptance_max
QTE000503,P032,CLM006500,VEH006500,YARD_HOU_01,2025-04-21,355,31,7,47,40,1595,7399,5804,1378,217,61,0.67,0.64,1,accepted,852,366,32,balanced
QTE000504,P028,CLM001918,VEH001918,YARD_AUS_01,2025-01-05,357,29,0,63,63,2184,1069,-1115,1925,259,27,0.79,0.78,1,accepted,1219,368,30,capacity_control
QTE000505,P020,CLM002521,VEH002521,YARD_AUS_01,2025-06-06,484,47,0,81,81,4291,6692,2401,3560,731,34,1.15,0.53,0,competitor_relationship,3040,499,49,margin_max
QTE000506,P037,CLM008358,VEH008358,YARD_AUS_01,2025-04-01,291,22,3,49,46,1303,9304,8001,1615,-312,80,0.89,0.54,0,storage_fee_too_high,543,268,20,balanced
QTE000507,P040,CLM009420,VEH009420,YARD_DAL_01,2025-03-21,354,36,7,20,13,822,4116,3294,673,149,48,0.77,0.67,1,accepted,377,365,37,balanced
QTE000508,P002,CLM001872,VEH001872,YARD_HOU_01,2025-06-15,252,30,3,69,66,2232,754,-1478,2336,-104,61,0.65,0.67,0,competitor_relationship,1439,260,31,capacity_control
QTE000509,P010,CLM005262,VEH005262,YARD_HOU_01,2025-06-10,320,39,14,46,32,1568,26682,25114,1525,43,25,0.88,0.97,1,accepted,897,330,41,acceptance_max
QTE000510,P007,CLM006282,VEH006282,YARD_OKC_01,2025-07-25,356,19,3,60,57,1439,6615,5176,1276,163,44,0.88,0.76,1,accepted,444,367,20,acceptance_max
QTE000511,P028,CLM003763,VEH003763,YARD_HOU_01,2025-05-21,408,31,0,52,52,2020,7944,5924,1642,378,27,0.98,0.77,0,price_too_high,1196,420,32,acceptance_max
QTE000512,P028,CLM000304,VEH000304,YARD_OKC_01,2025-01-30,325,37,0,24,24,1213,12083,10870,1239,-26,27,0.83,0.95,1,accepted,752,335,38,acceptance_max
QTE000513,P015,CLM004920,VEH004920,YARD_AUS_01,2025-03-27,446,22,3,62,59,1744,7950,6206,1648,96,18,0.94,0.96,1,accepted,597,459,23,acceptance_max
QTE000514,P003,CLM009378,VEH009378,YARD_HOU_01,2025-06-23,311,29,7,31,24,1007,8029,7022,1186,-179,67,0.71,0.61,1,accepted,538,320,30,margin_max
QTE000515,P004,CLM003835,VEH003835,YARD_OKC_01,2025-05-12,317,26,0,41,41,1383,13800,12417,1274,109,69,0.78,0.68,0,price_too_high,777,327,27,margin_max
QTE000516,P035,CLM003041,VEH003041,YARD_DAL_01,2025-01-19,285,24,3,50,47,1413,500,-913,1412,1,70,0.93,0.54,0,slow_pickup,658,294,25,balanced
QTE000517,P014,CLM009375,VEH009375,YARD_DAL_01,2025-06-15,325,15,0,39,39,910,500,-410,927,-17,65,0.89,0.65,1,accepted,166,335,16,balanced
QTE000518,P014,CLM008092,VEH008092,YARD_AUS_01,2025-05-22,266,15,0,67,67,1271,1391,120,1380,-109,65,1.00,0.63,1,accepted,319,274,16,margin_max
QTE000519,P030,CLM000273,VEH000273,YARD_OKC_01,2025-03-18,345,32,0,20,20,985,7484,6499,1022,-37,50,0.63,0.76,1,accepted,512,355,33,acceptance_max
QTE000520,P037,CLM007506,VEH007506,YARD_OKC_01,2025-04-16,305,23,3,49,46,1363,2022,659,1636,-273,80,0.86,0.49,0,distance_too_far,557,281,21,capacity_control
QTE000521,P012,CLM004641,VEH004641,YARD_DAL_01,2025-04-29,416,24,3,28,25,1016,9089,8073,1217,-201,58,0.70,0.72,1,accepted,312,428,25,acceptance_max
QTE000522,P015,CLM005133,VEH005133,YARD_AUS_01,2025-02-13,411,23,3,39,36,1239,500,-739,1008,231,18,1.15,0.79,1,accepted,509,423,24,margin_max
QTE000523,P030,CLM001138,VEH001138,YARD_DAL_01,2025-01-07,225,26,0,32,32,1057,14721,13664,1119,-62,50,0.83,0.81,1,accepted,647,232,27,balanced
QTE000524,P011,CLM005053,VEH005053,YARD_AUS_01,2025-01-14,231,33,7,6,0,231,7494,7263,249,-18,78,0.79,0.57,1,accepted,27,213,30,partner_retention
QTE000525,P002,CLM000500,VEH000500,YARD_DAL_01,2025-04-05,356,28,3,70,67,2232,500,-1732,1789,443,61,0.86,0.51,1,accepted,1110,367,29,partner_retention
QTE000526,P002,CLM004466,VEH004466,YARD_HOU_01,2025-03-17,311,28,3,6,3,395,13247,12852,351,44,61,0.97,0.73,1,accepted,137,320,29,balanced
QTE000527,P030,CLM002266,VEH002266,YARD_DAL_01,2025-05-06,297,26,0,49,49,1571,3036,1465,1629,-58,50,0.58,0.73,1,accepted,811,306,27,partner_retention
QTE000528,P037,CLM002009,VEH002009,YARD_DAL_01,2025-05-19,273,19,3,17,14,539,2364,1825,625,-86,80,1.10,0.43,0,storage_fee_too_high,196,251,17,balanced
QTE000529,P015,CLM002865,VEH002865,YARD_HOU_01,2025-01-02,341,26,3,72,69,2135,1541,-594,2050,85,18,0.89,0.93,0,distance_too_far,1052,351,27,balanced
QTE000530,P005,CLM006287,VEH006287,YARD_DAL_01,2025-03-16,408,37,3,69,66,2850,1607,-1243,3148,-298,32,0.58,0.89,1,accepted,1620,420,38,balanced
QTE000531,P003,CLM001943,VEH001943,YARD_HOU_01,2025-02-02,413,26,7,50,43,1531,3650,2119,1579,-48,67,0.63,0.58,1,accepted,538,425,27,margin_max
QTE000532,P015,CLM004748,VEH004748,YARD_HOU_01,2025-01-06,365,23,3,30,27,986,4035,3049,1115,-129,18,0.93,0.97,1,accepted,410,376,24,capacity_control
QTE000533,P004,CLM004836,VEH004836,YARD_OKC_01,2025-05-02,399,31,0,60,60,2259,5662,3403,2323,-64,69,0.41,0.66,1,accepted,1241,411,32,balanced
QTE000534,P024,CLM007839,VEH007839,YARD_HOU_01,2025-01-31,259,30,0,32,32,1219,6442,5223,1144,75,22,0.66,0.95,1,accepted,739,267,31,balanced
QTE000535,P020,CLM000980,VEH000980,YARD_HOU_01,2025-03-10,568,39,0,34,34,1894,11637,9743,2232,-338,34,0.74,0.90,1,accepted,1006,585,41,balanced
QTE000536,P028,CLM007948,VEH007948,YARD_AUS_01,2025-03-17,357,29,0,68,68,2329,5933,3604,2698,-369,27,0.73,0.91,1,accepted,1272,368,30,margin_max
QTE000537,P028,CLM004030,VEH004030,YARD_HOU_01,2025-02-04,278,37,0,12,12,722,15935,15213,698,24,27,0.71,0.97,1,accepted,433,286,38,capacity_control
QTE000538,P015,CLM005339,VEH005339,YARD_HOU_01,2025-03-15,328,30,3,48,45,1678,5639,3961,1390,288,18,0.90,0.88,1,accepted,862,338,31,balanced
QTE000539,P035,CLM009178,VEH009178,YARD_OKC_01,2025-01-24,344,22,3,49,46,1356,500,-856,1258,98,70,0.77,0.51,1,accepted,484,354,23,partner_retention
QTE000540,P037,CLM008164,VEH008164,YARD_OKC_01,2025-05-03,207,27,3,93,90,2637,500,-2137,2736,-99,80,0.80,0.48,0,competitor_relationship,1749,190,24,capacity_control
QTE000541,P014,CLM000998,VEH000998,YARD_DAL_01,2025-03-31,184,15,0,16,16,424,500,76,465,-41,65,0.73,0.65,0,storage_fee_too_high,165,190,16,acceptance_max
QTE000542,P015,CLM009400,VEH009400,YARD_HOU_01,2025-02-08,421,27,3,62,59,2014,500,-1514,2325,-311,18,0.81,0.95,1,accepted,884,434,28,capacity_control
QTE000543,P014,CLM000725,VEH000725,YARD_AUS_01,2025-05-21,178,19,0,28,28,710,500,-210,767,-57,65,0.77,0.65,1,accepted,357,183,20,capacity_control
QTE000544,P029,CLM003849,VEH003849,YARD_AUS_01,2025-02-10,361,24,3,71,68,1993,2264,271,1938,55,36,0.68,0.81,1,accepted,986,372,25,acceptance_max
QTE000545,P003,CLM009148,VEH009148,YARD_HOU_01,2025-05-16,306,28,7,62,55,1846,500,-1346,2253,-407,67,0.93,0.55,1,accepted,1045,315,29,partner_retention
QTE000546,P025,CLM007363,VEH007363,YARD_DAL_01,2025-06-30,283,16,0,37,37,875,500,-375,793,82,88,0.75,0.41,1,accepted,257,260,14,balanced
QTE000547,P005,CLM002995,VEH002995,YARD_OKC_01,2025-07-02,372,37,3,49,46,2074,6965,4891,1709,365,32,0.58,0.80,0,distance_too_far,1334,383,38,partner_retention
QTE000548,P028,CLM000726,VEH000726,YARD_OKC_01,2025-06-01,281,41,0,46,46,2167,16367,14200,2106,61,27,0.79,0.96,1,accepted,1560,289,43,acceptance_max
QTE000549,P023,CLM007402,VEH007402,YARD_AUS_01,2024-12-31,363,24,7,42,35,1203,500,-703,1093,110,61,0.53,0.66,1,accepted,473,374,25,acceptance_max
QTE000550,P028,CLM008519,VEH008519,YARD_OKC_01,2025-06-19,322,32,0,14,14,770,20403,19633,764,6,27,0.92,0.97,1,accepted,415,332,33,partner_retention
QTE000551,P003,CLM006112,VEH006112,YARD_OKC_01,2025-07-03,240,31,7,19,12,612,7737,7125,569,43,67,0.56,0.60,0,price_too_high,289,247,32,margin_max
QTE000552,P019,CLM002976,VEH002976,YARD_DAL_01,2025-05-19,275,22,7,39,32,979,3606,2627,992,-13,78,0.63,0.55,0,price_too_high,313,253,20,balanced
QTE000553,P036,CLM000384,VEH000384,YARD_AUS_01,2025-06-06,284,32,5,49,44,1692,4791,3099,1422,270,70,0.79,0.55,1,accepted,1010,293,33,partner_retention
QTE000554,P004,CLM007957,VEH007957,YARD_DAL_01,2025-05-05,304,31,0,41,41,1575,2510,935,1465,110,69,1.15,0.51,1,accepted,968,313,32,partner_retention
QTE000555,P030,CLM001582,VEH001582,YARD_DAL_01,2025-02-20,395,35,0,53,53,2250,16865,14615,2327,-77,50,0.90,0.83,0,price_too_high,1331,407,36,capacity_control
QTE000556,P019,CLM008574,VEH008574,YARD_HOU_01,2025-03-26,348,20,7,73,66,1668,500,-1168,1298,370,78,0.98,0.37,0,price_too_high,422,320,18,balanced
QTE000557,P015,CLM009900,VEH009900,YARD_AUS_01,2025-02-06,450,27,3,62,59,2043,1778,-265,1773,270,18,0.49,0.86,1,accepted,862,464,28,acceptance_max
QTE000558,P035,CLM009240,VEH009240,YARD_AUS_01,2025-02-14,374,23,3,73,70,1984,7184,5200,1446,538,70,0.71,0.40,0,price_too_high,752,385,24,partner_retention
QTE000559,P014,CLM008925,VEH008925,YARD_DAL_01,2025-04-26,390,18,0,54,54,1362,500,-862,1187,175,65,0.92,0.59,0,competitor_relationship,313,402,19,balanced
QTE000560,P024,CLM007809,VEH007809,YARD_DAL_01,2025-06-07,426,31,0,73,73,2689,5873,3184,2808,-119,22,0.95,0.96,1,accepted,1465,439,32,balanced
QTE000561,P037,CLM000728,VEH000728,YARD_AUS_01,2025-05-13,340,21,3,61,58,1558,500,-1058,1503,55,80,1.11,0.40,0,price_too_high,688,313,19,margin_max
QTE000562,P037,CLM009086,VEH009086,YARD_HOU_01,2025-07-13,259,27,3,79,76,2311,2582,271,2484,-173,80,0.76,0.50,0,distance_too_far,1324,238,24,acceptance_max
QTE000563,P004,CLM006685,VEH006685,YARD_AUS_01,2025-07-27,422,27,0,1,1,449,12984,12535,452,-3,69,0.78,0.71,1,accepted,157,435,28,balanced
QTE000564,P031,CLM006600,VEH006600,YARD_OKC_01,2025-01-28,314,36,14,21,7,566,6305,5739,703,-137,51,0.71,0.74,1,accepted,140,323,37,balanced
QTE000565,P035,CLM007792,VEH007792,YARD_AUS_01,2025-02-17,303,31,3,18,15,768,500,-268,695,73,70,0.78,0.52,1,accepted,390,312,32,margin_max
QTE000566,P013,CLM008088,VEH008088,YARD_OKC_01,2025-04-02,461,32,0,65,65,2541,4060,1519,2400,141,47,0.88,0.73,1,accepted,1289,475,33,balanced
QTE000567,P012,CLM005456,VEH005456,YARD_HOU_01,2025-01-23,375,23,3,50,47,1456,4082,2626,1471,-15,58,0.65,0.68,1,accepted,488,386,24,acceptance_max
QTE000568,P028,CLM006217,VEH006217,YARD_DAL_01,2025-03-20,391,40,0,65,65,2991,8563,5572,3033,-42,27,1.15,0.85,1,accepted,2050,403,42,partner_retention
QTE000569,P024,CLM006065,VEH006065,YARD_HOU_01,2025-05-06,284,28,0,66,66,2132,7500,5368,2298,-166,22,1.03,0.94,1,accepted,1274,293,29,capacity_control
QTE000570,P014,CLM001861,VEH001861,YARD_AUS_01,2025-06-12,366,14,0,45,45,996,500,-496,862,134,65,0.81,0.60,1,accepted,147,377,15,balanced
QTE000571,P015,CLM008455,VEH008455,YARD_HOU_01,2025-03-13,367,26,3,44,41,1433,500,-933,1560,-127,18,0.93,0.94,1,accepted,710,378,27,acceptance_max
QTE000572,P029,CLM005684,VEH005684,YARD_HOU_01,2025-07-15,276,25,3,19,16,676,8598,7922,746,-70,36,0.79,0.87,1,accepted,309,284,26,acceptance_max
QTE000573,P028,CLM002088,VEH002088,YARD_HOU_01,2025-05-15,420,39,0,66,66,2994,21418,18424,3070,-76,27,0.80,0.97,1,accepted,1886,433,41,margin_max
QTE000574,P004,CLM000206,VEH000206,YARD_HOU_01,2025-05-02,243,33,0,40,40,1563,14037,12474,1561,2,69,0.81,0.72,1,accepted,1009,250,34,balanced
QTE000575,P014,CLM002142,VEH002142,YARD_DAL_01,2025-03-26,310,15,0,89,89,1645,500,-1145,1792,-147,65,1.15,0.57,1,accepted,328,319,16,acceptance_max
QTE000576,P015,CLM004315,VEH004315,YARD_AUS_01,2025-04-03,358,29,3,49,46,1692,4172,2480,2071,-379,18,0.98,0.95,1,accepted,949,369,30,margin_max
QTE000577,P024,CLM001744,VEH001744,YARD_HOU_01,2025-07-12,424,26,0,53,53,1802,8594,6792,1675,127,22,0.94,0.94,1,accepted,855,437,27,balanced
QTE000578,P037,CLM001459,VEH001459,YARD_DAL_01,2025-01-18,338,23,3,54,51,1511,500,-1011,1706,-195,80,0.76,0.48,1,accepted,644,311,21,partner_retention
QTE000579,P036,CLM007421,VEH007421,YARD_HOU_01,2025-06-10,412,25,5,47,42,1462,540,-922,1436,26,70,1.01,0.57,1,accepted,567,424,26,margin_max
QTE000580,P037,CLM003681,VEH003681,YARD_HOU_01,2025-02-17,283,23,3,22,19,720,1450,730,869,-149,80,1.15,0.41,0,distance_too_far,324,260,21,acceptance_max
QTE000581,P003,CLM009693,VEH009693,YARD_OKC_01,2025-03-27,405,30,7,50,43,1695,10236,8541,1624,71,67,0.93,0.60,0,storage_fee_too_high,815,417,31,balanced
QTE000582,P028,CLM009755,VEH009755,YARD_DAL_01,2025-04-28,526,33,0,54,54,2308,13176,10868,2425,-117,27,0.68,0.96,1,accepted,1241,542,34,margin_max
QTE000583,P014,CLM004008,VEH004008,YARD_OKC_01,2025-07-24,240,16,0,14,14,464,500,36,486,-22,65,0.81,0.65,0,price_too_high,176,247,17,balanced
QTE000584,P001,CLM000313,VEH000313,YARD_DAL_01,2025-07-12,194,22,0,44,44,1162,847,-315,1032,130,73,1.00,0.51,0,price_too_high,678,178,20,margin_max
QTE000585,P003,CLM003918,VEH003918,YARD_AUS_01,2025-06-13,289,25,7,41,34,1139,5076,3937,1293,-154,67,1.12,0.52,0,competitor_relationship,494,298,26,acceptance_max
QTE000586,P037,CLM001937,VEH001937,YARD_OKC_01,2025-05-08,206,27,3,48,45,1421,4120,2699,1441,-20,80,0.75,0.51,1,accepted,949,190,24,balanced
QTE000587,P007,CLM005163,VEH005163,YARD_HOU_01,2025-06-12,331,24,3,68,65,1891,500,-1391,2411,-520,44,1.07,0.73,1,accepted,896,341,25,margin_max
QTE000588,P023,CLM009253,VEH009253,YARD_DAL_01,2025-06-07,404,32,7,57,50,2004,6348,4344,2089,-85,61,1.05,0.69,1,accepted,1049,416,33,acceptance_max
QTE000589,P005,CLM007262,VEH007262,YARD_DAL_01,2025-05-17,327,32,3,41,38,1543,8152,6609,1474,69,32,0.77,0.92,1,accepted,965,337,33,partner_retention
QTE000590,P031,CLM009065,VEH009065,YARD_OKC_01,2025-06-15,370,34,14,61,47,1968,22394,20426,1931,37,51,0.91,0.84,1,accepted,1093,381,35,partner_retention
QTE000591,P006,CLM006161,VEH006161,YARD_DAL_01,2025-02-09,376,36,5,90,85,3436,5035,1599,3335,101,52,0.75,0.68,1,accepted,1973,387,37,balanced
QTE000592,P040,CLM001637,VEH001637,YARD_AUS_01,2025-03-20,317,32,7,5,0,317,9030,8713,321,-4,48,0.80,0.76,1,accepted,63,327,33,margin_max
QTE000593,P023,CLM009085,VEH009085,YARD_HOU_01,2025-01-19,318,28,7,1,0,318,5353,5035,285,33,61,0.74,0.72,1,accepted,97,328,29,partner_retention
QTE000594,P014,CLM008918,VEH008918,YARD_OKC_01,2025-05-13,261,20,0,46,46,1181,500,-681,1127,54,65,0.64,0.63,0,unknown,587,269,21,margin_max
QTE000595,P015,CLM007354,VEH007354,YARD_OKC_01,2025-04-11,340,29,3,60,57,1993,500,-1493,2023,-30,18,0.61,0.95,1,accepted,1119,350,30,acceptance_max
QTE000596,P008,CLM006746,VEH006746,YARD_AUS_01,2025-03-02,230,22,0,19,19,648,5535,4887,646,2,55,0.89,0.69,0,competitor_relationship,344,237,23,balanced
QTE000597,P015,CLM009849,VEH009849,YARD_AUS_01,2025-02-03,340,25,3,31,28,1040,500,-540,926,114,18,0.64,0.91,1,accepted,506,350,26,acceptance_max
QTE000598,P037,CLM000205,VEH000205,YARD_DAL_01,2025-01-26,432,21,3,47,44,1356,500,-856,1321,35,80,0.80,0.47,0,distance_too_far,397,397,19,partner_retention
QTE000599,P028,CLM003822,VEH003822,YARD_AUS_01,2025-03-27,455,31,0,15,15,920,13306,12386,1019,-99,27,1.06,0.91,1,accepted,425,469,32,capacity_control
QTE000600,P005,CLM007576,VEH007576,YARD_OKC_01,2025-04-05,267,39,3,33,30,1437,1371,-66,1180,257,32,0.84,0.80,1,accepted,972,275,41,acceptance_max
QTE000601,P013,CLM006265,VEH006265,YARD_AUS_01,2025-06-12,315,34,0,1,1,349,4526,4177,322,27,47,0.83,0.77,1,accepted,132,324,35,margin_max
QTE000602,P029,CLM004460,VEH004460,YARD_OKC_01,2025-06-25,395,33,3,36,33,1484,14359,12875,1563,-79,36,0.62,0.91,1,accepted,809,407,34,capacity_control
QTE000603,P018,CLM008242,VEH008242,YARD_AUS_01,2025-06-28,269,19,0,38,38,991,500,-491,940,51,58,0.91,0.66,0,storage_fee_too_high,332,277,20,balanced
QTE000604,P012,CLM000243,VEH000243,YARD_HOU_01,2025-03-28,311,30,3,45,42,1571,500,-1071,1345,226,58,0.80,0.57,1,accepted,893,320,31,balanced
QTE000605,P021,CLM009275,VEH009275,YARD_DAL_01,2025-06-16,339,30,7,50,43,1629,6678,5049,1511,118,71,0.91,0.60,0,unknown,814,312,27,capacity_control
QTE000606,P025,CLM001934,VEH001934,YARD_HOU_01,2025-01-03,341,19,0,36,36,1025,500,-525,1027,-2,88,0.74,0.44,0,distance_too_far,308,314,17,capacity_control
QTE000607,P023,CLM006132,VEH006132,YARD_DAL_01,2025-01-03,283,23,7,45,38,1157,11612,10455,1094,63,61,1.04,0.71,1,accepted,565,291,24,margin_max
