vehicle_id,claim_id,partner_id,yard_id,arrival_date,sale_date,pickup_date,vehicle_status,make,model,model_year,vehicle_age,vehicle_type,damage_type,damage_severity,drivability_status,title_status,estimated_salvage_value,estimated_sale_probability,expected_days_to_sale,actual_days_to_sale,pickup_required_flag,customer_pickup_flag,carrier_pickup_flag,partner_priority_score,operational_complexity_score,priority_score,created_at,updated_at
VEH000275,CLM000275,P040,YARD_OKC_01,2025-01-08,,,listed,Ram,ProMaster,2026,0,van,front_end,moderate,runs_and_drives,salvage,14379,0.86,23,,1,1,0,88,27,83.1,2025-01-08 13:33:00,2025-01-20 12:33:00
VEH000276,CLM000276,P028,YARD_AUS_01,2025-03-25,,,listed,Chevrolet,Equinox,2004,22,SUV,rear_end,minor,non_running,missing_title,11452,0.44,36,,1,1,0,100,55,88.4,2025-03-25 16:27:00,2025-04-15 21:27:00
VEH000277,CLM000277,P019,YARD_OKC_01,2025-02-16,,,awaiting_sale,Ram,ProMaster,2026,0,van,rear_end,moderate,runs_and_drives,clean,8630,0.85,16,,1,1,0,87,29,72.9,2025-02-16 16:13:00,2025-02-28 15:13:00
VEH000278,CLM000278,P028,YARD_HOU_01,2025-01-15,,,awaiting_sale,Honda,Pilot,2007,19,SUV,front_end,minor,non_running,salvage,3377,0.32,54,,1,0,1,100,61,87.3,2025-01-15 13:10:00,2025-02-20 18:10:00
VEH000279,CLM000279,P025,YARD_HOU_01,2025-05-26,2025-07-19,2025-07-21,picked_up,Toyota,RAV4,2009,17,SUV,theft_recovery,severe,forklift_required,clean,500,0.49,47,54,1,0,1,71,73,53.4,2025-05-26 17:00:00,2025-06-30 16:00:00
VEH000280,CLM000280,P037,YARD_OKC_01,2025-02-20,,,listed,Ram,1500,2010,16,pickup,mechanical,minor,forklift_required,salvage,6116,0.30,59,,1,0,1,85,71,66.6,2025-02-20 12:11:00,2025-03-29 14:11:00
VEH000281,CLM000281,P036,YARD_OKC_01,2025-02-10,,,listed,Honda,CR-V,2018,8,SUV,side,moderate,non_running,salvage,6666,0.64,43,,1,0,1,100,59,81.3,2025-02-10 14:39:00,2025-03-21 16:39:00
VEH000282,CLM000282,P029,YARD_HOU_01,2025-03-18,2025-04-20,2025-04-27,picked_up,Honda,Pilot,2026,0,SUV,front_end,severe,runs_and_drives,pending_title,11328,0.98,21,33,1,1,0,100,35,84.4,2025-03-18 15:03:00,2025-03-29 21:03:00
VEH000283,CLM000283,P037,YARD_AUS_01,2025-04-18,,,awaiting_sale,Nissan,Sentra,2022,4,sedan,side,severe,non_running,salvage,7832,0.56,41,,1,0,1,82,69,65.2,2025-04-18 16:23:00,2025-04-19 16:23:00
VEH000284,CLM000284,P024,YARD_HOU_01,2025-01-09,,,awaiting_sale,Toyota,Corolla,2009,17,sedan,mechanical,total_loss,forklift_required,pending_title,500,0.30,73,,1,0,1,100,99,73.8,2025-01-09 12:11:00,2025-01-10 13:11:00
VEH000285,CLM000285,P011,YARD_DAL_01,2025-07-03,,,title_pending,Toyota,Corolla,2015,11,sedan,theft_recovery,severe,runs_and_drives,pending_title,1762,0.53,46,,1,1,0,98,52,82.9,2025-07-03 09:14:00,2025-07-22 11:14:00
VEH000286,CLM000286,P026,YARD_HOU_01,2025-06-15,2025-07-20,2025-07-21,picked_up,Chevrolet,Malibu,2013,13,sedan,mechanical,moderate,runs_and_drives,salvage,2088,0.56,29,35,1,0,1,74,41,65.4,2025-06-15 12:07:00,2025-07-07 17:07:00
VEH000287,CLM000287,P014,YARD_HOU_01,2025-06-02,2025-07-15,2025-07-17,picked_up,Toyota,Camry,2008,18,sedan,rear_end,moderate,runs_and_drives,salvage,500,0.57,48,43,1,1,0,100,28,73.5,2025-06-02 13:41:00,2025-06-14 18:41:00
VEH000288,CLM000288,P019,YARD_HOU_01,2025-03-06,,,awaiting_sale,Ford,Mustang,2015,11,sedan,rear_end,moderate,forklift_required,missing_title,4061,0.33,47,,1,1,0,96,78,69.3,2025-03-06 15:06:00,2025-03-14 21:06:00
VEH000289,CLM000289,P035,YARD_HOU_01,2025-04-01,2025-05-18,,sold_pending_pickup,Toyota,Camry,2022,4,sedan,hail,severe,forklift_required,pending_title,500,0.59,44,47,1,0,1,92,86,70.5,2025-04-01 12:55:00,2025-05-12 12:55:00
VEH000290,CLM000290,P013,YARD_DAL_01,2025-05-20,2025-06-24,,sold_pending_pickup,Ram,ProMaster,2022,4,van,side,minor,non_running,pending_title,15945,0.92,32,35,1,1,0,100,54,82.6,2025-05-20 12:45:00,2025-06-24 12:45:00
VEH000291,CLM000291,P025,YARD_DAL_01,2025-04-21,2025-05-08,,sold_pending_pickup,BMW,X5,2019,7,SUV,front_end,moderate,runs_and_drives,salvage,3846,0.47,20,17,1,1,0,74,48,59.7,2025-04-21 14:06:00,2025-05-19 17:06:00
VEH000292,CLM000292,P003,YARD_AUS_01,2025-05-04,2025-06-01,2025-06-05,picked_up,Nissan,Sentra,2021,5,sedan,front_end,severe,non_running,rebuilt,1673,0.64,36,28,1,1,0,81,67,68.1,2025-05-04 11:42:00,2025-06-14 15:42:00
VEH000293,CLM000293,P029,YARD_DAL_01,2025-07-13,2025-07-17,2025-07-18,picked_up,Kia,Optima,2021,5,sedan,front_end,minor,runs_and_drives,rebuilt,13136,0.98,15,4,1,0,1,100,13,88.4,2025-07-13 13:28:00,2025-07-24 14:28:00
VEH000294,CLM000294,P011,YARD_AUS_01,2025-04-13,,,title_pending,Ford,Explorer,2022,4,SUV,hail,moderate,forklift_required,salvage,15442,0.66,37,,0,0,0,82,86,67.5,2025-04-13 09:16:00,2025-04-17 13:16:00
VEH000295,CLM000295,P015,YARD_HOU_01,2025-06-08,2025-07-11,2025-07-15,picked_up,Ford,Mustang,2013,13,sedan,flood,minor,runs_and_drives,clean,1108,0.57,29,33,1,0,1,100,23,81.9,2025-06-08 11:08:00,2025-06-09 10:08:00
VEH000296,CLM000296,P015,YARD_DAL_01,2025-02-03,2025-02-08,2025-02-12,picked_up,Honda,Pilot,2019,7,SUV,flood,moderate,runs_and_drives,clean,7126,0.68,27,5,1,0,1,100,26,81.4,2025-02-03 15:18:00,2025-02-16 18:18:00
VEH000297,CLM000297,P015,YARD_OKC_01,2025-01-24,2025-03-08,2025-03-14,picked_up,Kia,Optima,2011,15,sedan,flood,moderate,forklift_required,clean,5656,0.47,48,43,1,0,1,100,76,72.4,2025-01-24 15:19:00,2025-02-12 15:19:00
VEH000298,CLM000298,P037,YARD_HOU_01,2025-03-06,,,listed,Ram,2500,2018,8,pickup,side,total_loss,non_running,salvage,500,0.62,33,,1,0,1,91,59,72.2,2025-03-06 13:11:00,2025-03-11 19:11:00
VEH000299,CLM000299,P014,YARD_AUS_01,2025-02-26,2025-04-22,2025-04-29,picked_up,Ford,Mustang,2004,22,sedan,theft_recovery,severe,non_running,salvage,500,0.34,57,55,1,1,0,100,72,65.6,2025-02-26 16:19:00,2025-03-11 23:19:00
VEH000300,CLM000300,P035,YARD_AUS_01,2025-04-30,,,listed,Ram,1500,2009,17,pickup,rear_end,moderate,non_running,rebuilt,3480,0.49,50,,1,1,0,78,77,64.0,2025-04-30 11:12:00,2025-05-01 15:12:00
VEH000301,CLM000301,P010,YARD_AUS_01,2025-05-17,2025-06-13,2025-06-20,picked_up,Nissan,Frontier,2012,14,pickup,front_end,moderate,runs_and_drives,salvage,25623,0.82,31,27,1,1,0,100,26,100,2025-05-17 10:16:00,2025-06-05 12:16:00
VEH000302,CLM000302,P019,YARD_AUS_01,2025-04-30,,,listed,BMW,5 Series,2018,8,sedan,front_end,severe,runs_and_drives,rebuilt,500,0.46,43,,1,1,0,72,50,60.4,2025-04-30 11:43:00,2025-05-05 15:43:00
VEH000303,CLM000303,P028,YARD_DAL_01,2025-05-24,2025-07-26,,awaiting_sale,Nissan,Altima,2005,21,sedan,front_end,moderate,non_running,salvage,5265,0.44,63,63,0,0,0,100,74,85.0,2025-05-24 15:01:00,2025-05-27 17:01:00
VEH000304,CLM000304,P028,YARD_OKC_01,2025-01-31,2025-02-02,2025-02-10,picked_up,BMW,X5,2022,4,SUV,side,moderate,runs_and_drives,salvage,12083,0.82,20,2,1,1,0,100,39,91.3,2025-01-31 17:59:00,2025-03-14 20:59:00
VEH000305,CLM000305,P031,YARD_DAL_01,2025-07-28,,,title_pending,Ram,ProMaster,2014,12,van,front_end,severe,non_running,missing_title,5163,0.44,53,,1,1,0,100,79,87.7,2025-07-28 11:44:00,2025-08-23 10:44:00
VEH000306,CLM000306,P029,YARD_AUS_01,2025-01-20,2025-02-10,2025-02-11,picked_up,Nissan,Altima,2025,1,sedan,flood,moderate,runs_and_drives,clean,13880,0.84,22,21,1,1,0,100,23,86.6,2025-01-20 17:55:00,2025-02-15 18:55:00
VEH000307,CLM000307,P025,YARD_DAL_01,2025-02-09,2025-03-21,,awaiting_sale,Ram,2500,2022,4,pickup,hail,severe,non_running,salvage,882,0.54,37,40,0,0,0,74,67,56.3,2025-02-09 15:44:00,2025-02-24 21:44:00
VEH000308,CLM000308,P003,YARD_DAL_01,2025-01-23,2025-02-06,2025-02-13,picked_up,Kia,Telluride,2023,3,SUV,rear_end,moderate,runs_and_drives,clean,11507,0.77,2,14,1,0,1,78,27,73.5,2025-01-23 12:20:00,2025-02-17 13:20:00
VEH000309,CLM000309,P003,YARD_AUS_01,2025-03-04,2025-04-24,,listed,Ram,2500,2004,22,pickup,side,total_loss,non_running,pending_title,500,0.38,65,51,0,0,0,87,76,69.9,2025-03-04 09:44:00,2025-03-09 15:44:00
VEH000310,CLM000310,P028,YARD_DAL_01,2025-07-13,2025-08-19,,sold_pending_pickup,Kia,Sportage,2020,6,SUV,burn,minor,non_running,pending_title,7014,0.78,26,37,1,0,1,100,53,88.8,2025-07-13 09:06:00,2025-08-24 16:06:00
VEH000311,CLM000311,P004,YARD_DAL_01,2025-05-19,,,title_pending,Chevrolet,Tahoe,2005,21,SUV,front_end,minor,non_running,clean,12910,0.52,52,,0,0,0,99,38,86.4,2025-05-19 09:33:00,2025-06-18 10:33:00
VEH000312,CLM000312,P015,YARD_HOU_01,2025-06-18,2025-07-04,,sold_pending_pickup,Kia,Optima,2024,2,sedan,burn,moderate,runs_and_drives,salvage,8665,0.81,14,16,1,0,1,100,40,78.9,2025-06-18 14:36:00,2025-07-15 21:36:00
VEH000313,CLM000313,P001,YARD_DAL_01,2025-07-13,2025-08-10,2025-08-17,picked_up,Kia,Sorento,2009,17,SUV,mechanical,moderate,runs_and_drives,salvage,847,0.58,37,28,1,1,0,93,13,83.5,2025-07-13 11:59:00,2025-07-25 14:59:00
VEH000314,CLM000314,P014,YARD_OKC_01,2025-05-30,2025-08-05,2025-08-06,picked_up,Toyota,Camry,2009,17,sedan,front_end,severe,forklift_required,pending_title,500,0.42,56,67,1,0,1,100,71,65.8,2025-05-30 10:59:00,2025-06-17 16:59:00
VEH000315,CLM000315,P015,YARD_DAL_01,2025-04-01,,,title_pending,Chevrolet,Tahoe,2024,2,SUV,mechanical,minor,forklift_required,salvage,9108,0.74,30,,1,1,0,100,68,73.8,2025-04-01 12:44:00,2025-04-30 16:44:00
VEH000316,CLM000316,P031,YARD_AUS_01,2025-05-13,,,awaiting_sale,Toyota,Corolla,2016,10,sedan,mechanical,moderate,forklift_required,salvage,19772,0.57,52,,1,0,1,100,85,86.6,2025-05-13 14:17:00,2025-05-22 16:17:00
VEH000317,CLM000317,P015,YARD_OKC_01,2025-06-20,,,awaiting_sale,Kia,Sportage,2023,3,SUV,mechanical,total_loss,runs_and_drives,salvage,1573,0.53,30,,0,0,0,100,53,76.5,2025-06-20 11:08:00,2025-07-24 16:08:00
VEH000318,CLM000318,P007,YARD_OKC_01,2025-06-03,,,title_pending,Honda,Civic,2016,10,sedan,side,minor,non_running,pending_title,5135,0.46,53,,1,0,1,100,49,74.6,2025-06-03 11:37:00,2025-06-17 15:37:00
VEH000319,CLM000319,P030,YARD_OKC_01,2025-07-26,2025-08-22,,sold_pending_pickup,Kia,Sportage,2026,0,SUV,side,moderate,runs_and_drives,rebuilt,8969,0.93,27,27,1,1,0,100,34,89.6,2025-07-26 13:57:00,2025-09-03 13:57:00
VEH000320,CLM000320,P005,YARD_HOU_01,2025-01-18,,,awaiting_sale,Kia,Sorento,2004,22,SUV,front_end,minor,runs_and_drives,salvage,9116,0.43,55,,1,0,1,100,30,94.7,2025-01-18 13:47:00,2025-02-24 13:47:00
VEH000321,CLM000321,P008,YARD_DAL_01,2025-06-21,2025-06-27,,sold_pending_pickup,Toyota,Corolla,2020,6,sedan,mechanical,moderate,runs_and_drives,salvage,4034,0.77,10,6,1,0,1,96,17,79.2,2025-06-21 15:19:00,2025-06-22 19:19:00
VEH000322,CLM000322,P026,YARD_HOU_01,2025-06-08,,,title_pending,Toyota,Corolla,2011,15,sedan,rear_end,moderate,non_running,salvage,6215,0.50,40,,1,1,0,79,50,66.6,2025-06-08 15:08:00,2025-06-11 19:08:00
VEH000323,CLM000323,P015,YARD_HOU_01,2025-02-09,,,title_pending,Toyota,Camry,2019,7,sedan,flood,moderate,forklift_required,salvage,4353,0.39,32,,1,0,1,100,76,72.4,2025-02-09 13:54:00,2025-02-26 13:54:00
VEH000324,CLM000324,P028,YARD_AUS_01,2025-03-31,2025-04-22,2025-04-28,picked_up,Chevrolet,Silverado,2025,1,pickup,front_end,severe,runs_and_drives,salvage,12340,0.84,22,22,1,1,0,100,48,89.7,2025-03-31 09:14:00,2025-05-08 09:14:00
VEH000325,CLM000325,P025,YARD_OKC_01,2025-03-11,2025-04-02,2025-04-05,picked_up,Chevrolet,Malibu,2018,8,sedan,front_end,moderate,runs_and_drives,salvage,1552,0.73,23,22,1,1,0,85,14,72.2,2025-03-11 16:27:00,2025-04-01 16:27:00
VEH000326,CLM000326,P038,YARD_DAL_01,2025-05-04,2025-05-30,2025-06-04,picked_up,Ram,ProMaster,2014,12,van,front_end,severe,runs_and_drives,salvage,1995,0.55,35,26,1,0,1,88,57,70.4,2025-05-04 12:42:00,2025-05-09 19:42:00
VEH000327,CLM000327,P033,YARD_DAL_01,2025-03-05,2025-03-28,,sold_pending_pickup,Nissan,Rogue,2021,5,SUV,mechanical,severe,forklift_required,salvage,12726,0.63,33,23,1,0,1,100,86,79.8,2025-03-05 10:58:00,2025-03-24 09:58:00
VEH000328,CLM000328,P025,YARD_DAL_01,2025-01-07,2025-02-21,2025-02-27,picked_up,BMW,X3,2013,13,SUV,front_end,moderate,runs_and_drives,rebuilt,734,0.69,44,45,1,1,0,70,17,62.9,2025-01-07 12:37:00,2025-02-11 19:37:00
VEH000329,CLM000329,P015,YARD_AUS_01,2025-02-22,2025-02-23,2025-02-24,picked_up,Toyota,Tacoma,2021,5,pickup,hail,minor,runs_and_drives,salvage,4862,0.98,12,1,1,1,0,100,6,85.0,2025-02-22 12:46:00,2025-04-02 18:46:00
VEH000330,CLM000330,P013,YARD_DAL_01,2025-06-29,,,listed,Toyota,Tacoma,2019,7,pickup,front_end,severe,non_running,salvage,500,0.52,40,,1,1,0,100,81,77.8,2025-06-29 10:34:00,2025-07-14 10:34:00
VEH000331,CLM000331,P004,YARD_HOU_01,2025-06-17,2025-07-21,,awaiting_sale,Kia,Sportage,2007,19,SUV,front_end,moderate,non_running,salvage,2284,0.40,48,34,0,0,0,100,53,84.3,2025-06-17 15:02:00,2025-07-08 17:02:00
VEH000332,CLM000332,P026,YARD_OKC_01,2025-02-05,2025-02-15,2025-02-17,picked_up,Toyota,Tacoma,2019,7,pickup,theft_recovery,moderate,runs_and_drives,salvage,9191,0.63,23,10,1,1,0,69,33,63.9,2025-02-05 12:05:00,2025-03-14 16:05:00
VEH000333,CLM000333,P029,YARD_AUS_01,2025-02-05,,,awaiting_sale,Kia,Sportage,2016,10,SUV,theft_recovery,minor,runs_and_drives,salvage,13328,0.66,44,,1,0,1,100,18,87.5,2025-02-05 15:04:00,2025-03-13 21:04:00
VEH000334,CLM000334,P002,YARD_OKC_01,2025-06-14,2025-07-22,2025-07-26,picked_up,Kia,Sorento,2014,12,SUV,theft_recovery,minor,runs_and_drives,salvage,6198,0.74,39,38,1,1,0,100,23,87.5,2025-06-14 10:41:00,2025-07-22 10:41:00
VEH000335,CLM000335,P040,YARD_DAL_01,2025-04-04,2025-04-27,2025-05-04,picked_up,Chevrolet,Silverado,2008,18,pickup,side,minor,runs_and_drives,clean,12836,0.82,29,23,1,0,1,100,23,90.7,2025-04-04 12:54:00,2025-05-14 19:54:00
VEH000336,CLM000336,P015,YARD_HOU_01,2025-06-04,2025-07-02,2025-07-04,picked_up,Ram,3500,2019,7,heavy_vehicle,theft_recovery,severe,runs_and_drives,salvage,500,0.69,34,28,1,1,0,100,22,82.1,2025-06-04 13:44:00,2025-07-13 18:44:00
VEH000337,CLM000337,P014,YARD_AUS_01,2025-03-22,2025-04-20,,listed,Chevrolet,Equinox,2013,13,SUV,mechanical,moderate,runs_and_drives,pending_title,500,0.48,29,29,0,0,0,94,39,68.1,2025-03-22 15:24:00,2025-04-18 16:24:00
VEH000338,CLM000338,P014,YARD_OKC_01,2025-05-10,2025-07-10,2025-07-12,picked_up,Toyota,Tacoma,2004,22,pickup,rear_end,severe,runs_and_drives,salvage,500,0.40,48,61,1,0,1,100,39,71.6,2025-05-10 14:01:00,2025-05-17 18:01:00
VEH000339,CLM000339,P015,YARD_AUS_01,2025-07-07,2025-07-10,,sold_pending_pickup,Ram,1500,2015,11,pickup,front_end,moderate,runs_and_drives,salvage,892,0.71,26,3,1,1,0,100,26,81.4,2025-07-07 14:13:00,2025-08-06 13:13:00
VEH000340,CLM000340,P014,YARD_OKC_01,2025-04-10,2025-05-18,,sold_pending_pickup,Ford,F-150,2024,2,pickup,theft_recovery,severe,non_running,salvage,500,0.59,28,38,1,1,0,97,69,64.4,2025-04-10 10:35:00,2025-05-06 17:35:00
VEH000341,CLM000341,P040,YARD_AUS_01,2025-01-26,2025-03-16,2025-03-20,picked_up,Ram,1500,2009,17,pickup,theft_recovery,total_loss,non_running,missing_title,500,0.37,62,49,1,0,1,100,67,82.8,2025-01-26 11:10:00,2025-02-05 17:10:00
VEH000342,CLM000342,P008,YARD_HOU_01,2025-04-07,2025-04-24,,awaiting_sale,Chevrolet,Tahoe,2013,13,SUV,rear_end,minor,non_running,clean,1721,0.59,24,17,0,0,0,100,54,74.9,2025-04-07 11:16:00,2025-05-12 15:16:00
VEH000343,CLM000343,P028,YARD_DAL_01,2025-03-17,,,awaiting_sale,Honda,Accord,2025,1,sedan,front_end,moderate,runs_and_drives,pending_title,9496,0.93,22,,1,1,0,100,31,92.7,2025-03-17 11:13:00,2025-03-27 10:13:00
VEH000344,CLM000344,P034,YARD_OKC_01,2025-01-18,,,awaiting_sale,Nissan,Rogue,2006,20,SUV,rear_end,moderate,runs_and_drives,pending_title,500,0.55,32,,1,1,0,100,19,78.7,2025-01-18 12:35:00,2025-02-06 14:35:00
VEH000345,CLM000345,P008,YARD_HOU_01,2025-01-09,,,awaiting_sale,Honda,Pilot,2024,2,SUV,mechanical,minor,runs_and_drives,salvage,2503,0.85,23,,1,1,0,95,16,78.8,2025-01-09 15:25:00,2025-01-10 17:25:00
VEH000346,CLM000346,P024,YARD_DAL_01,2025-07-01,2025-09-04,,listed,Chevrolet,Tahoe,2005,21,SUV,rear_end,moderate,non_running,missing_title,7293,0.48,63,65,0,0,0,100,55,81.8,2025-07-01 13:46:00,2025-08-14 18:46:00
VEH000347,CLM000347,P020,YARD_AUS_01,2025-07-26,,,title_pending,Honda,Pilot,2018,8,SUV,side,moderate,forklift_required,missing_title,27452,0.81,51,,1,1,0,100,75,92.5,2025-07-26 17:42:00,2025-08-12 22:42:00
VEH000348,CLM000348,P029,YARD_AUS_01,2025-05-19,,,listed,Ram,3500,2014,12,heavy_vehicle,hail,severe,runs_and_drives,salvage,7174,0.58,25,,1,1,0,100,40,83.5,2025-05-19 13:53:00,2025-06-21 18:53:00
VEH000349,CLM000349,P003,YARD_AUS_01,2025-06-01,2025-07-16,,sold_pending_pickup,Nissan,Altima,2013,13,sedan,hail,severe,runs_and_drives,missing_title,500,0.59,42,45,1,1,0,80,39,72.5,2025-06-01 13:57:00,2025-07-13 13:57:00
VEH000350,CLM000350,P028,YARD_DAL_01,2025-02-05,2025-03-16,,sold_pending_pickup,Nissan,Rogue,2021,5,SUV,theft_recovery,moderate,runs_and_drives,rebuilt,18385,0.97,41,39,1,1,0,100,33,92.4,2025-02-05 12:52:00,2025-02-25 13:52:00
VEH000351,CLM000351,P035,YARD_HOU_01,2025-06-14,2025-07-12,2025-07-13,picked_up,Nissan,Frontier,2026,0,pickup,side,moderate,non_running,missing_title,14689,0.92,34,28,1,0,1,79,63,67.1,2025-06-14 17:41:00,2025-06-19 19:41:00
VEH000352,CLM000352,P028,YARD_AUS_01,2025-04-24,,,title_pending,Nissan,Frontier,2013,13,pickup,side,total_loss,non_running,pending_title,11994,0.51,49,,1,0,1,100,86,82.8,2025-04-24 13:36:00,2025-04-25 19:36:00
VEH000353,CLM000353,P005,YARD_OKC_01,2025-06-25,,,listed,Ford,F-150,2021,5,pickup,front_end,severe,runs_and_drives,salvage,8832,0.79,40,,1,0,1,100,46,91.8,2025-06-25 17:26:00,2025-07-21 21:26:00
VEH000354,CLM000354,P014,YARD_AUS_01,2025-07-26,2025-08-26,2025-09-02,picked_up,Ram,3500,2007,19,heavy_vehicle,theft_recovery,minor,non_running,salvage,500,0.43,34,31,1,0,1,100,45,70.5,2025-07-26 17:54:00,2025-08-12 21:54:00
VEH000355,CLM000355,P004,YARD_HOU_01,2025-05-17,2025-07-16,2025-07-18,picked_up,BMW,X3,2012,14,SUV,front_end,moderate,non_running,pending_title,13009,0.57,60,60,1,0,1,100,78,79.8,2025-05-17 15:01:00,2025-06-02 20:01:00
VEH000356,CLM000356,P007,YARD_AUS_01,2025-06-05,2025-07-14,2025-07-21,picked_up,BMW,5 Series,2010,16,sedan,side,moderate,runs_and_drives,missing_title,500,0.53,40,39,1,1,0,100,37,76.8,2025-06-05 13:47:00,2025-07-14 19:47:00
VEH000357,CLM000357,P026,YARD_OKC_01,2025-04-01,2025-04-23,,listed,Honda,CR-V,2014,12,SUV,theft_recovery,moderate,runs_and_drives,salvage,1880,0.72,26,22,0,0,0,68,21,65.5,2025-04-01 15:48:00,2025-05-03 17:48:00
VEH000358,CLM000358,P024,YARD_DAL_01,2025-01-24,2025-03-17,,awaiting_sale,Nissan,Altima,2008,18,sedan,flood,moderate,runs_and_drives,salvage,9274,0.66,51,52,0,0,0,100,40,84.5,2025-01-24 14:58:00,2025-02-27 17:58:00
VEH000359,CLM000359,P026,YARD_DAL_01,2025-01-30,,,listed,Ram,2500,2013,13,pickup,front_end,moderate,non_running,salvage,3022,0.48,49,,1,1,0,75,54,63.6,2025-01-30 13:04:00,2025-03-05 14:04:00
VEH000360,CLM000360,P007,YARD_HOU_01,2025-06-14,2025-07-01,2025-07-09,picked_up,Nissan,Frontier,2026,0,pickup,side,total_loss,runs_and_drives,salvage,500,0.79,21,17,1,0,1,100,45,75.4,2025-06-14 14:46:00,2025-07-18 16:46:00
VEH000361,CLM000361,P004,YARD_OKC_01,2025-07-24,2025-08-10,,sold_pending_pickup,Chevrolet,Silverado,2016,10,pickup,side,severe,runs_and_drives,pending_title,500,0.64,36,17,1,1,0,100,23,89.7,2025-07-24 10:29:00,2025-08-17 14:29:00
VEH000362,CLM000362,P024,YARD_OKC_01,2025-02-13,,,awaiting_sale,Toyota,Tacoma,2008,18,pickup,rear_end,moderate,runs_and_drives,salvage,11158,0.62,46,,1,1,0,100,39,84.6,2025-02-13 12:30:00,2025-03-13 16:30:00
VEH000363,CLM000363,P035,YARD_OKC_01,2025-07-29,2025-09-25,2025-10-01,picked_up,Toyota,RAV4,2018,8,SUV,theft_recovery,moderate,non_running,clean,4759,0.64,49,58,1,1,0,80,64,67.5,2025-07-29 17:34:00,2025-08-19 23:34:00
VEH000364,CLM000364,P026,YARD_AUS_01,2025-05-03,2025-06-26,,sold_pending_pickup,Nissan,Frontier,2009,17,pickup,side,moderate,non_running,salvage,500,0.43,53,54,1,0,1,69,64,58.3,2025-05-03 15:05:00,2025-06-13 14:05:00
VEH000365,CLM000365,P027,YARD_AUS_01,2025-01-07,,,title_pending,Ford,F-150,2008,18,pickup,theft_recovery,severe,non_running,salvage,500,0.36,43,,1,1,0,86,79,67.7,2025-01-07 16:00:00,2025-01-10 16:00:00
VEH000366,CLM000366,P003,YARD_HOU_01,2025-03-19,2025-05-04,2025-05-11,picked_up,Chevrolet,Tahoe,2008,18,SUV,hail,minor,non_running,pending_title,6021,0.54,47,46,1,1,0,100,57,80.9,2025-03-19 16:58:00,2025-04-03 18:58:00
VEH000367,CLM000367,P014,YARD_OKC_01,2025-07-16,,,awaiting_sale,Toyota,Tacoma,2018,8,pickup,rear_end,minor,runs_and_drives,missing_title,500,0.67,24,,1,0,1,100,19,75.2,2025-07-16 14:28:00,2025-08-16 16:28:00
VEH000368,CLM000368,P023,YARD_AUS_01,2025-01-27,2025-03-27,2025-03-28,picked_up,BMW,3 Series,2013,13,sedan,side,moderate,runs_and_drives,pending_title,5498,0.69,53,59,1,0,1,100,32,84.8,2025-01-27 11:59:00,2025-03-03 17:59:00
VEH000369,CLM000369,P004,YARD_OKC_01,2025-06-10,2025-07-16,,sold_pending_pickup,Ford,F-150,2022,4,pickup,flood,severe,non_running,salvage,4096,0.75,39,36,1,0,1,100,87,78.2,2025-06-10 13:22:00,2025-06-25 18:22:00
VEH000370,CLM000370,P029,YARD_OKC_01,2025-05-08,,,title_pending,BMW,3 Series,2006,20,sedan,side,total_loss,non_running,salvage,500,0.20,70,,1,1,0,100,85,75.4,2025-05-08 14:28:00,2025-06-20 20:28:00
VEH000371,CLM000371,P010,YARD_OKC_01,2025-01-24,,,listed,Chevrolet,Silverado,2008,18,pickup,hail,minor,non_running,pending_title,31063,0.60,53,,1,1,0,100,62,95.9,2025-01-24 15:54:00,2025-02-10 22:54:00
VEH000372,CLM000372,P011,YARD_OKC_01,2025-04-02,,,listed,Kia,Sorento,2018,8,SUV,theft_recovery,moderate,forklift_required,missing_title,12688,0.55,40,,0,0,0,85,85,69.4,2025-04-02 17:18:00,2025-05-12 17:18:00
VEH000373,CLM000373,P015,YARD_OKC_01,2025-01-26,,,listed,Toyota,RAV4,2004,22,SUV,theft_recovery,total_loss,runs_and_drives,salvage,500,0.40,72,,1,0,1,100,55,76.2,2025-01-26 12:50:00,2025-01-30 15:50:00
VEH000374,CLM000374,P035,YARD_HOU_01,2025-07-17,2025-09-23,,listed,Ram,ProMaster,2013,13,van,front_end,total_loss,non_running,rebuilt,3491,0.55,69,68,0,0,0,94,70,74.5,2025-07-17 09:51:00,2025-07-19 14:51:00
VEH000375,CLM000375,P028,YARD_HOU_01,2025-04-11,2025-05-25,,sold_pending_pickup,Ford,Escape,2017,9,SUV,side,moderate,non_running,salvage,4241,0.67,42,44,1,0,1,100,53,88.8,2025-04-11 12:17:00,2025-05-26 14:17:00
VEH000376,CLM000376,P013,YARD_DAL_01,2025-02-08,,,listed,Ford,Escape,2018,8,SUV,theft_recovery,moderate,forklift_required,salvage,8058,0.59,41,,1,1,0,100,79,78.1,2025-02-08 13:17:00,2025-02-22 15:17:00
VEH000377,CLM000377,P031,YARD_AUS_01,2025-07-12,2025-08-13,,sold_pending_pickup,Ford,Mustang,2013,13,sedan,burn,total_loss,runs_and_drives,salvage,500,0.48,35,32,1,0,1,100,46,93.6,2025-07-12 11:24:00,2025-08-23 16:24:00
