storage_event_id,vehicle_id,partner_id,yard_id,arrival_date,release_date,days_in_yard,free_storage_days,billable_storage_days,daily_storage_rate,total_storage_fee,yard_cost_per_day,total_yard_cost,storage_margin,capacity_utilization_at_arrival,long_hold_flag,storage_billing_status
STG002355,VEH002355,P005,YARD_AUS_01,2025-01-05,,33,3,30,35,1050,9,297,753,1.12,0,collected
STG002356,VEH002356,P025,YARD_AUS_01,2025-04-26,,52,0,52,18,936,14,728,208,0.92,1,not_billable
STG002357,VEH002357,P039,YARD_AUS_01,2025-01-06,,41,0,41,19,779,6,246,533,0.88,1,billable
STG002358,VEH002358,P013,YARD_OKC_01,2025-03-09,,88,0,88,28,2464,15,1320,1144,0.97,1,disputed
STG002359,VEH002359,P034,YARD_AUS_01,2025-05-17,,1,5,0,19,0,8,8,-8,0.86,0,disputed
STG002360,VEH002360,P033,YARD_HOU_01,2025-05-22,,1,0,1,30,30,8,8,22,0.92,0,billable
STG002361,VEH002361,P014,YARD_DAL_01,2025-06-27,,81,0,81,16,1296,16,1296,0,0.95,1,billable
STG002362,VEH002362,P028,YARD_OKC_01,2025-05-14,,17,0,17,33,561,9,153,408,0.82,0,billable
STG002363,VEH002363,P030,YARD_HOU_01,2025-03-23,,35,0,35,30,1050,15,525,525,0.80,0,waived
STG002364,VEH002364,P018,YARD_DAL_01,2025-05-19,,30,0,30,16,480,12,360,120,0.99,0,billable
STG002365,VEH002365,P034,YARD_DAL_01,2025-01-19,,30,5,25,19,475,18,540,-65,0.87,0,billable
STG002366,VEH002366,P013,YARD_DAL_01,2025-05-18,2025-06-24,37,0,37,28,1036,12,444,592,0.95,1,collected
STG002367,VEH002367,P029,YARD_HOU_01,2025-02-27,,29,3,26,27,702,13,377,325,0.91,0,billable
STG002368,VEH002368,P021,YARD_OKC_01,2025-04-27,2025-07-02,66,7,59,25,1475,14,924,551,0.81,1,collected
STG002369,VEH002369,P007,YARD_AUS_01,2025-06-01,,29,3,26,21,546,17,493,53,1.00,0,billable
STG002370,VEH002370,P014,YARD_OKC_01,2025-05-25,,49,0,49,16,784,15,735,49,0.60,1,disputed
STG002371,VEH002371,P022,YARD_DAL_01,2025-05-11,,73,14,59,29,1711,14,1022,689,0.74,1,billable
STG002372,VEH002372,P040,YARD_HOU_01,2025-03-28,,69,7,62,30,1860,14,966,894,1.15,1,waived
STG002373,VEH002373,P028,YARD_AUS_01,2025-04-17,,81,0,81,33,2673,25,2025,648,0.78,1,billable
STG002374,VEH002374,P028,YARD_DAL_01,2025-06-19,2025-07-03,14,0,14,33,462,13,182,280,0.89,0,collected
STG002375,VEH002375,P030,YARD_OKC_01,2025-04-17,,79,0,79,30,2370,12,948,1422,0.90,1,billable
STG002376,VEH002376,P020,YARD_DAL_01,2025-05-23,2025-08-03,72,0,72,39,2808,16,1152,1656,0.75,1,collected
STG002377,VEH002377,P014,YARD_DAL_01,2025-04-30,,31,0,31,16,496,7,217,279,0.77,0,disputed
STG002378,VEH002378,P023,YARD_AUS_01,2025-05-21,2025-05-31,10,7,3,26,78,3,30,48,0.53,0,collected
STG002379,VEH002379,P014,YARD_HOU_01,2025-05-15,2025-06-22,38,0,38,16,608,11,418,190,0.79,1,collected
STG002380,VEH002380,P026,YARD_OKC_01,2025-07-15,,47,0,47,21,987,15,705,282,0.90,1,disputed
STG002381,VEH002381,P022,YARD_OKC_01,2025-05-19,2025-06-20,32,14,18,29,522,13,416,106,1.05,0,collected
STG002382,VEH002382,P037,YARD_AUS_01,2025-06-23,,51,3,48,22,1056,14,714,342,0.97,1,billable
STG002383,VEH002383,P035,YARD_HOU_01,2025-07-19,2025-08-27,39,3,36,25,900,13,507,393,0.92,1,collected
STG002384,VEH002384,P003,YARD_DAL_01,2025-05-14,2025-07-29,76,7,69,26,1794,14,1064,730,0.81,1,collected
STG002385,VEH002385,P035,YARD_AUS_01,2025-06-25,2025-07-19,24,3,21,25,525,9,216,309,0.83,0,collected
STG002386,VEH002386,P029,YARD_OKC_01,2025-06-19,,42,3,39,27,1053,11,462,591,0.90,1,billable
STG002387,VEH002387,P028,YARD_AUS_01,2025-01-14,,10,0,10,33,330,12,120,210,0.74,0,disputed
STG002388,VEH002388,P015,YARD_HOU_01,2025-04-27,,90,3,87,25,2175,12,1080,1095,0.79,1,disputed
STG002389,VEH002389,P025,YARD_DAL_01,2025-04-15,,39,0,39,18,702,19,741,-39,0.95,1,not_billable
STG002390,VEH002390,P028,YARD_DAL_01,2025-03-03,2025-04-05,33,0,33,33,1089,15,495,594,1.07,0,collected
STG002391,VEH002391,P014,YARD_HOU_01,2025-07-26,,78,0,78,16,1248,12,936,312,0.65,1,waived
STG002392,VEH002392,P015,YARD_OKC_01,2025-02-26,2025-05-10,73,3,70,25,1750,15,1095,655,0.75,1,collected
STG002393,VEH002393,P002,YARD_DAL_01,2025-06-09,,50,3,47,26,1222,20,1000,222,0.86,1,billable
STG002394,VEH002394,P020,YARD_DAL_01,2025-04-07,,18,0,18,39,702,12,216,486,0.59,0,collected
STG002395,VEH002395,P003,YARD_HOU_01,2025-04-05,,26,7,19,26,494,12,312,182,0.73,0,waived
STG002396,VEH002396,P022,YARD_AUS_01,2025-02-08,2025-04-20,71,14,57,29,1653,18,1278,375,0.90,1,collected
STG002397,VEH002397,P040,YARD_DAL_01,2025-07-25,2025-09-16,53,7,46,30,1380,12,636,744,0.64,1,collected
STG002398,VEH002398,P012,YARD_AUS_01,2025-04-25,,21,3,18,25,450,10,210,240,0.67,0,billable
STG002399,VEH002399,P007,YARD_OKC_01,2025-01-22,2025-03-08,45,3,42,21,882,16,720,162,0.93,1,collected
STG002400,VEH002400,P023,YARD_DAL_01,2025-01-05,,60,7,53,26,1378,15,900,478,0.72,1,disputed
STG002401,VEH002401,P040,YARD_HOU_01,2025-01-17,,46,7,39,30,1170,13,598,572,0.65,1,billable
STG002402,VEH002402,P014,YARD_OKC_01,2025-01-21,,6,0,6,16,96,8,48,48,1.00,0,waived
STG002403,VEH002403,P028,YARD_DAL_01,2025-06-15,,63,0,63,33,2079,16,1008,1071,0.97,1,billable
STG002404,VEH002404,P028,YARD_HOU_01,2025-04-19,,45,0,45,33,1485,12,540,945,0.85,1,billable
STG002405,VEH002405,P022,YARD_HOU_01,2025-05-04,,72,14,58,29,1682,8,576,1106,0.93,1,collected
STG002406,VEH002406,P029,YARD_AUS_01,2025-02-22,2025-04-18,55,3,52,27,1404,13,715,689,0.61,1,collected
STG002407,VEH002407,P037,YARD_DAL_01,2025-02-13,,85,3,82,22,1804,11,935,869,0.70,1,billable
STG002408,VEH002408,P006,YARD_HOU_01,2025-01-05,,75,5,70,32,2240,13,975,1265,0.85,1,waived
STG002409,VEH002409,P026,YARD_AUS_01,2025-05-15,,19,0,19,21,399,10,190,209,1.10,0,not_billable
STG002410,VEH002410,P032,YARD_AUS_01,2025-06-15,,51,7,44,26,1144,14,714,430,0.88,1,waived
STG002411,VEH002411,P026,YARD_DAL_01,2025-01-22,2025-03-12,49,0,49,21,1029,20,980,49,0.93,1,collected
STG002412,VEH002412,P010,YARD_HOU_01,2025-02-28,2025-04-16,47,14,33,40,1320,8,376,944,0.51,1,collected
STG002413,VEH002413,P023,YARD_HOU_01,2025-01-08,,62,7,55,26,1430,13,806,624,0.73,1,billable
STG002414,VEH002414,P011,YARD_HOU_01,2025-05-10,,13,7,6,27,162,16,208,-46,0.63,0,billable
STG002415,VEH002415,P003,YARD_DAL_01,2025-03-08,2025-05-14,67,7,60,26,1560,16,1072,488,1.07,1,collected
STG002416,VEH002416,P029,YARD_AUS_01,2025-02-28,,4,3,1,27,27,10,40,-13,1.01,0,billable
STG002417,VEH002417,P028,YARD_OKC_01,2025-05-03,,27,0,27,33,891,14,378,513,0.97,0,billable
STG002418,VEH002418,P037,YARD_AUS_01,2025-06-28,,71,3,68,22,1496,6,426,1070,0.91,1,billable
STG002419,VEH002419,P019,YARD_DAL_01,2025-04-12,2025-06-13,62,7,55,21,1155,8,496,659,0.72,1,collected
STG002420,VEH002420,P015,YARD_AUS_01,2025-07-21,,15,3,12,25,300,8,120,180,0.75,0,waived
STG002421,VEH002421,P035,YARD_DAL_01,2025-03-16,,57,3,54,25,1350,16,912,438,0.85,1,billable
STG002422,VEH002422,P025,YARD_OKC_01,2025-05-03,,54,0,54,18,972,10,540,432,0.86,1,waived
STG002423,VEH002423,P029,YARD_DAL_01,2025-02-15,,76,3,73,27,1971,10,760,1211,0.58,1,billable
STG002424,VEH002424,P028,YARD_OKC_01,2025-06-19,2025-08-04,46,0,46,33,1518,12,552,966,0.71,1,collected
STG002425,VEH002425,P029,YARD_DAL_01,2025-01-10,2025-02-17,38,3,35,27,945,12,456,489,0.92,1,collected
STG002426,VEH002426,P013,YARD_AUS_01,2025-05-03,2025-06-25,53,0,53,28,1484,22,1166,318,0.59,1,collected
STG002427,VEH002427,P010,YARD_HOU_01,2025-06-22,2025-07-19,27,14,13,40,520,10,270,250,0.81,0,collected
STG002428,VEH002428,P020,YARD_DAL_01,2025-07-13,,52,0,52,39,2028,11,572,1456,0.84,1,disputed
STG002429,VEH002429,P028,YARD_DAL_01,2025-05-28,,45,0,45,33,1485,5,225,1260,0.75,1,billable
STG002430,VEH002430,P040,YARD_OKC_01,2025-04-16,,47,7,40,30,1200,17,799,401,0.78,1,billable
STG002431,VEH002431,P028,YARD_OKC_01,2025-05-29,,82,0,82,33,2706,15,1230,1476,0.98,1,disputed
STG002432,VEH002432,P015,YARD_AUS_01,2025-04-23,,35,3,32,25,800,14,490,310,0.77,0,billable
STG002433,VEH002433,P002,YARD_AUS_01,2025-03-16,,39,3,36,26,936,11,429,507,1.13,1,billable
STG002434,VEH002434,P028,YARD_AUS_01,2025-01-12,,54,0,54,33,1782,13,702,1080,1.11,1,billable
STG002435,VEH002435,P004,YARD_AUS_01,2025-07-20,2025-08-17,28,0,28,28,784,5,140,644,0.83,0,collected
STG002436,VEH002436,P026,YARD_DAL_01,2025-04-09,,81,0,81,21,1701,18,1458,243,0.59,1,billable
STG002437,VEH002437,P003,YARD_HOU_01,2025-06-27,2025-07-21,24,7,17,26,442,12,288,154,0.85,0,collected
STG002438,VEH002438,P019,YARD_DAL_01,2025-02-01,2025-02-27,26,7,19,21,399,10,260,139,0.68,0,collected
STG002439,VEH002439,P028,YARD_HOU_01,2025-07-28,,46,0,46,33,1518,4,184,1334,0.76,1,billable
STG002440,VEH002440,P001,YARD_DAL_01,2025-05-17,2025-06-23,37,0,37,24,888,10,370,518,0.74,1,collected
STG002441,VEH002441,P013,YARD_DAL_01,2025-05-27,,80,0,80,28,2240,15,1200,1040,0.83,1,not_billable
STG002442,VEH002442,P005,YARD_OKC_01,2025-03-03,,45,3,42,35,1470,5,225,1245,0.65,1,collected
STG002443,VEH002443,P028,YARD_AUS_01,2025-05-30,,14,0,14,33,462,10,140,322,0.83,0,billable
STG002444,VEH002444,P006,YARD_DAL_01,2025-07-07,,55,5,50,32,1600,14,770,830,1.00,1,billable
STG002445,VEH002445,P023,YARD_HOU_01,2025-02-26,2025-04-22,55,7,48,26,1248,7,385,863,0.82,1,collected
STG002446,VEH002446,P013,YARD_HOU_01,2025-04-22,,52,0,52,28,1456,19,988,468,0.63,1,disputed
STG002447,VEH002447,P008,YARD_DAL_01,2025-05-07,,58,0,58,21,1218,15,870,348,0.50,1,collected
STG002448,VEH002448,P003,YARD_DAL_01,2025-07-27,,54,7,47,26,1222,16,864,358,0.66,1,billable
STG002449,VEH002449,P028,YARD_HOU_01,2025-06-09,,81,0,81,33,2673,14,1134,1539,0.76,1,billable
STG002450,VEH002450,P002,YARD_DAL_01,2025-04-11,2025-05-28,47,3,44,26,1144,15,705,439,0.81,1,collected
STG002451,VEH002451,P028,YARD_AUS_01,2025-05-07,2025-06-21,45,0,45,33,1485,15,675,810,0.56,1,collected
STG002452,VEH002452,P015,YARD_DAL_01,2025-05-01,,58,3,55,25,1375,10,580,795,0.60,1,billable
STG002453,VEH002453,P006,YARD_AUS_01,2025-04-12,2025-06-21,70,5,65,32,2080,12,840,1240,1.09,1,collected
STG002454,VEH002454,P009,YARD_AUS_01,2025-03-13,,34,7,27,27,729,12,408,321,0.78,0,billable
STG002455,VEH002455,P022,YARD_OKC_01,2025-07-27,,66,14,52,29,1508,18,1188,320,0.94,1,billable
STG002456,VEH002456,P014,YARD_HOU_01,2025-01-22,,54,0,54,16,864,14,756,108,0.65,1,billable
STG002457,VEH002457,P028,YARD_AUS_01,2025-03-16,,82,0,82,33,2706,14,1148,1558,0.76,1,collected
STG002458,VEH002458,P014,YARD_AUS_01,2025-03-19,2025-04-10,22,0,22,16,352,4,88,264,0.78,0,collected
STG002459,VEH002459,P023,YARD_HOU_01,2025-01-15,,49,7,42,26,1092,14,686,406,0.92,1,disputed
STG002460,VEH002460,P004,YARD_DAL_01,2025-07-24,,71,0,71,28,1988,19,1349,639,0.89,1,waived
STG002461,VEH002461,P019,YARD_DAL_01,2025-07-03,2025-08-13,41,7,34,21,714,16,656,58,1.01,1,collected
STG002462,VEH002462,P029,YARD_OKC_01,2025-07-12,,74,3,71,27,1917,9,666,1251,0.78,1,collected
STG002463,VEH002463,P037,YARD_DAL_01,2025-03-05,2025-04-17,43,3,40,22,880,14,602,278,0.80,1,collected
STG002464,VEH002464,P003,YARD_OKC_01,2025-01-20,,40,7,33,26,858,19,760,98,0.83,1,billable
STG002465,VEH002465,P035,YARD_AUS_01,2025-05-14,2025-06-14,31,3,28,25,700,9,279,421,0.61,0,collected
STG002466,VEH002466,P026,YARD_DAL_01,2025-04-14,2025-06-13,60,0,60,21,1260,13,780,480,0.89,1,collected
STG002467,VEH002467,P028,YARD_OKC_01,2025-06-03,,48,0,48,33,1584,15,720,864,0.81,1,billable
STG002468,VEH002468,P040,YARD_DAL_01,2025-03-19,,51,7,44,30,1320,7,357,963,0.70,1,disputed
STG002469,VEH002469,P003,YARD_AUS_01,2025-05-31,2025-07-10,40,7,33,26,858,14,560,298,0.96,1,collected
STG002470,VEH002470,P008,YARD_DAL_01,2025-07-12,2025-09-27,77,0,77,21,1617,13,1001,616,0.76,1,collected
STG002471,VEH002471,P007,YARD_OKC_01,2025-03-20,,53,3,50,21,1050,12,636,414,0.85,1,disputed
STG002472,VEH002472,P007,YARD_OKC_01,2025-01-17,,53,3,50,21,1050,12,636,414,0.78,1,billable
STG002473,VEH002473,P019,YARD_AUS_01,2025-03-18,,33,7,26,21,546,8,264,282,0.98,0,waived
STG002474,VEH002474,P020,YARD_DAL_01,2025-04-17,2025-05-28,41,0,41,39,1599,9,369,1230,0.80,1,collected
STG002475,VEH002475,P028,YARD_OKC_01,2025-05-15,2025-06-24,40,0,40,33,1320,14,560,760,0.56,1,collected
STG002476,VEH002476,P029,YARD_OKC_01,2025-04-24,2025-07-06,73,3,70,27,1890,17,1241,649,0.98,1,collected
STG002477,VEH002477,P005,YARD_DAL_01,2025-01-17,,38,3,35,35,1225,13,494,731,0.79,1,waived
STG002478,VEH002478,P015,YARD_HOU_01,2025-02-23,,51,3,48,25,1200,8,408,792,0.71,1,disputed
STG002479,VEH002479,P003,YARD_AUS_01,2025-02-02,,54,7,47,26,1222,7,378,844,0.74,1,disputed
STG002480,VEH002480,P015,YARD_DAL_01,2025-07-03,,62,3,59,25,1475,14,868,607,0.86,1,billable
STG002481,VEH002481,P028,YARD_OKC_01,2025-03-25,,28,0,28,33,924,10,280,644,1.00,0,billable
STG002482,VEH002482,P037,YARD_DAL_01,2025-03-28,,70,3,67,22,1474,12,840,634,0.59,1,billable
STG002483,VEH002483,P025,YARD_AUS_01,2025-01-19,,39,0,39,18,702,10,390,312,0.86,1,collected
STG002484,VEH002484,P003,YARD_OKC_01,2025-03-16,2025-05-18,63,7,56,26,1456,14,882,574,0.84,1,collected
STG002485,VEH002485,P011,YARD_AUS_01,2025-07-10,,63,7,56,27,1512,12,756,756,1.15,1,billable
STG002486,VEH002486,P004,YARD_OKC_01,2025-06-04,,32,0,32,28,896,7,224,672,0.85,0,collected
STG002487,VEH002487,P015,YARD_OKC_01,2025-03-23,2025-04-11,19,3,16,25,400,7,133,267,0.80,0,collected
STG002488,VEH002488,P040,YARD_HOU_01,2025-07-29,,6,7,0,30,0,9,54,-54,0.62,0,collected
STG002489,VEH002489,P011,YARD_OKC_01,2025-05-08,,48,7,41,27,1107,7,336,771,0.78,1,not_billable
STG002490,VEH002490,P013,YARD_HOU_01,2025-02-17,2025-04-09,51,0,51,28,1428,17,867,561,0.59,1,collected
STG002491,VEH002491,P015,YARD_DAL_01,2025-05-15,2025-07-05,51,3,48,25,1200,6,306,894,0.90,1,collected
STG002492,VEH002492,P037,YARD_HOU_01,2025-07-18,,64,3,61,22,1342,18,1152,190,0.75,1,waived
STG002493,VEH002493,P003,YARD_OKC_01,2025-01-29,,38,7,31,26,806,6,228,578,0.74,1,billable
STG002494,VEH002494,P002,YARD_HOU_01,2025-03-20,2025-04-22,33,3,30,26,780,9,297,483,0.56,0,collected
STG002495,VEH002495,P019,YARD_DAL_01,2025-03-09,,22,7,15,21,315,11,242,73,0.81,0,billable
STG002496,VEH002496,P003,YARD_OKC_01,2025-02-05,,1,7,0,26,0,14,14,-14,0.88,0,billable
STG002497,VEH002497,P040,YARD_AUS_01,2025-02-13,,23,7,16,30,480,16,368,112,0.63,0,collected
STG002498,VEH002498,P039,YARD_OKC_01,2025-06-03,,46,0,46,19,874,7,322,552,0.82,1,waived
STG002499,VEH002499,P023,YARD_AUS_01,2025-07-08,2025-08-05,28,7,21,26,546,13,364,182,0.80,0,collected
STG002500,VEH002500,P023,YARD_DAL_01,2025-04-21,,99,7,92,26,2392,13,1287,1105,0.93,1,billable
STG002501,VEH002501,P028,YARD_HOU_01,2025-01-27,2025-04-02,65,0,65,33,2145,9,585,1560,1.05,1,collected
STG002502,VEH002502,P040,YARD_OKC_01,2025-05-12,2025-07-07,56,7,49,30,1470,9,504,966,0.65,1,collected
STG002503,VEH002503,P003,YARD_AUS_01,2025-07-09,,56,7,49,26,1274,22,1232,42,0.51,1,billable
STG002504,VEH002504,P009,YARD_HOU_01,2025-03-12,,52,7,45,27,1215,14,728,487,0.83,1,not_billable
STG002505,VEH002505,P037,YARD_HOU_01,2025-06-22,,26,3,23,22,506,7,182,324,0.76,0,not_billable
STG002506,VEH002506,P028,YARD_AUS_01,2025-02-07,,90,0,90,33,2970,18,1620,1350,0.91,1,billable
STG002507,VEH002507,P008,YARD_OKC_01,2025-03-07,,30,0,30,21,630,12,360,270,0.86,0,billable
STG002508,VEH002508,P015,YARD_AUS_01,2025-06-06,,68,3,65,25,1625,16,1088,537,0.83,1,billable
STG002509,VEH002509,P015,YARD_AUS_01,2025-05-28,,56,3,53,25,1325,12,672,653,0.76,1,billable
STG002510,VEH002510,P035,YARD_HOU_01,2025-05-28,,9,3,6,25,150,11,99,51,0.83,0,billable
STG002511,VEH002511,P014,YARD_HOU_01,2025-05-29,,3,0,3,16,48,12,36,12,0.63,0,billable
STG002512,VEH002512,P005,YARD_HOU_01,2025-01-07,,73,3,70,35,2450,8,584,1866,0.81,1,billable
STG002513,VEH002513,P021,YARD_OKC_01,2025-05-14,,68,7,61,25,1525,12,816,709,0.97,1,billable
STG002514,VEH002514,P014,YARD_DAL_01,2025-02-06,,59,0,59,16,944,11,649,295,0.85,1,waived
STG002515,VEH002515,P037,YARD_DAL_01,2025-04-14,,42,3,39,22,858,15,630,228,0.79,1,collected
STG002516,VEH002516,P024,YARD_OKC_01,2025-02-24,,50,0,50,29,1450,12,600,850,1.15,1,billable
STG002517,VEH002517,P034,YARD_HOU_01,2025-01-22,2025-03-11,48,5,43,19,817,17,816,1,1.15,1,collected
STG002518,VEH002518,P005,YARD_AUS_01,2025-07-23,2025-09-17,56,3,53,35,1855,8,448,1407,1.08,1,collected
STG002519,VEH002519,P002,YARD_AUS_01,2025-03-05,,99,3,96,26,2496,17,1683,813,0.82,1,collected
STG002520,VEH002520,P028,YARD_DAL_01,2025-05-07,,11,0,11,33,363,10,110,253,1.02,0,billable
STG002521,VEH002521,P020,YARD_AUS_01,2025-06-08,2025-08-14,67,0,67,39,2613,12,804,1809,0.93,1,collected
STG002522,VEH002522,P028,YARD_OKC_01,2025-07-13,,57,0,57,33,1881,13,741,1140,0.84,1,disputed
STG002523,VEH002523,P031,YARD_HOU_01,2025-02-13,2025-03-22,37,14,23,35,805,14,518,287,0.88,1,collected
STG002524,VEH002524,P019,YARD_OKC_01,2025-06-08,2025-07-31,53,7,46,21,966,8,424,542,0.89,1,collected
STG002525,VEH002525,P015,YARD_HOU_01,2025-04-12,,65,3,62,25,1550,15,975,575,0.91,1,billable
STG002526,VEH002526,P011,YARD_DAL_01,2025-06-20,,38,7,31,27,837,7,266,571,0.57,1,collected
STG002527,VEH002527,P028,YARD_OKC_01,2025-06-19,2025-07-23,34,0,34,33,1122,11,374,748,0.64,0,collected
STG002528,VEH002528,P011,YARD_DAL_01,2025-06-15,,1,7,0,27,0,5,5,-5,0.91,0,billable
STG002529,VEH002529,P007,YARD_HOU_01,2025-03-09,,23,3,20,21,420,14,322,98,0.72,0,billable
STG002530,VEH002530,P022,YARD_AUS_01,2025-01-27,,55,14,41,29,1189,12,660,529,0.80,1,disputed
STG002531,VEH002531,P032,YARD_DAL_01,2025-01-08,2025-02-10,33,7,26,26,676,12,396,280,1.00,0,collected
STG002532,VEH002532,P035,YARD_AUS_01,2025-06-17,,51,3,48,25,1200,12,612,588,0.90,1,collected
STG002533,VEH002533,P040,YARD_HOU_01,2025-07-11,,41,7,34,30,1020,11,451,569,0.72,1,disputed
STG002534,VEH002534,P011,YARD_AUS_01,2025-07-16,,39,7,32,27,864,6,234,630,1.15,1,waived
STG002535,VEH002535,P032,YARD_AUS_01,2025-03-20,,61,7,54,26,1404,12,732,672,0.80,1,billable
STG002536,VEH002536,P031,YARD_DAL_01,2025-01-27,,74,14,60,35,2100,15,1110,990,1.00,1,billable
STG002537,VEH002537,P003,YARD_OKC_01,2025-05-07,2025-06-07,31,7,24,26,624,6,186,438,1.07,0,collected
STG002538,VEH002538,P005,YARD_AUS_01,2025-02-01,2025-03-13,40,3,37,35,1295,17,680,615,1.08,1,collected
STG002539,VEH002539,P028,YARD_DAL_01,2025-05-24,2025-06-14,21,0,21,33,693,4,84,609,0.79,0,collected
STG002540,VEH002540,P014,YARD_HOU_01,2025-02-22,,19,0,19,16,304,8,152,152,0.84,0,disputed
STG002541,VEH002541,P028,YARD_DAL_01,2025-05-20,2025-06-04,15,0,15,33,495,8,120,375,0.78,0,collected
STG002542,VEH002542,P014,YARD_DAL_01,2025-06-21,,35,0,35,16,560,15,525,35,0.77,0,waived
STG002543,VEH002543,P014,YARD_OKC_01,2025-05-08,2025-06-27,50,0,50,16,800,6,300,500,0.94,1,collected
STG002544,VEH002544,P023,YARD_OKC_01,2025-07-14,,92,7,85,26,2210,10,920,1290,0.87,1,billable
STG002545,VEH002545,P037,YARD_AUS_01,2025-02-06,,40,3,37,22,814,14,560,254,1.01,1,collected
STG002546,VEH002546,P032,YARD_DAL_01,2025-02-11,,50,7,43,26,1118,10,500,618,1.15,1,billable
STG002547,VEH002547,P035,YARD_AUS_01,2025-03-31,,78,3,75,25,1875,15,1170,705,0.92,1,billable
STG002548,VEH002548,P035,YARD_AUS_01,2025-04-28,,55,3,52,25,1300,10,550,750,0.54,1,billable
STG002549,VEH002549,P014,YARD_DAL_01,2025-05-18,,53,0,53,16,848,19,1007,-159,0.80,1,billable
STG002550,VEH002550,P015,YARD_DAL_01,2025-05-03,2025-06-12,40,3,37,25,925,13,520,405,0.90,1,collected
STG002551,VEH002551,P014,YARD_DAL_01,2025-01-15,,29,0,29,16,464,12,348,116,1.01,0,not_billable
STG002552,VEH002552,P026,YARD_DAL_01,2025-01-17,,58,0,58,21,1218,13,754,464,0.86,1,disputed
STG002553,VEH002553,P014,YARD_AUS_01,2025-03-16,2025-03-30,14,0,14,16,224,13,182,42,0.62,0,collected
STG002554,VEH002554,P023,YARD_HOU_01,2025-04-12,2025-05-29,47,7,40,26,1040,11,517,523,1.03,1,collected
STG002555,VEH002555,P021,YARD_AUS_01,2025-06-12,2025-07-08,26,7,19,25,475,12,312,163,0.83,0,collected
STG002556,VEH002556,P021,YARD_OKC_01,2025-02-07,2025-03-11,32,7,25,25,625,11,352,273,0.68,0,collected
STG002557,VEH002557,P037,YARD_DAL_01,2025-05-06,2025-07-14,69,3,66,22,1452,17,1173,279,0.82,1,collected
STG002558,VEH002558,P040,YARD_AUS_01,2025-02-28,,83,7,76,30,2280,13,1079,1201,0.97,1,billable
STG002559,VEH002559,P015,YARD_DAL_01,2025-06-09,,53,3,50,25,1250,13,689,561,0.77,1,not_billable
STG002560,VEH002560,P015,YARD_DAL_01,2025-06-19,2025-07-10,21,3,18,25,450,7,147,303,0.49,0,collected
STG002561,VEH002561,P039,YARD_HOU_01,2025-04-28,2025-06-12,45,0,45,19,855,6,270,585,0.86,1,collected
STG002562,VEH002562,P018,YARD_DAL_01,2025-06-08,,61,0,61,16,976,14,854,122,0.61,1,billable
STG002563,VEH002563,P013,YARD_DAL_01,2025-05-30,,63,0,63,28,1764,8,504,1260,0.84,1,billable
STG002564,VEH002564,P039,YARD_OKC_01,2025-03-08,,51,0,51,19,969,17,867,102,0.96,1,collected
STG002565,VEH002565,P008,YARD_DAL_01,2025-07-07,2025-08-29,53,0,53,21,1113,9,477,636,0.89,1,collected
STG002566,VEH002566,P038,YARD_AUS_01,2025-07-09,,56,5,51,22,1122,11,616,506,1.09,1,collected
STG002567,VEH002567,P028,YARD_DAL_01,2025-07-08,,60,0,60,33,1980,11,660,1320,0.84,1,not_billable
STG002568,VEH002568,P015,YARD_AUS_01,2025-01-10,2025-02-18,39,3,36,25,900,10,390,510,0.92,1,collected
STG002569,VEH002569,P015,YARD_AUS_01,2025-01-29,2025-04-06,67,3,64,25,1600,13,871,729,0.67,1,collected
STG002570,VEH002570,P014,YARD_OKC_01,2025-02-15,,74,0,74,16,1184,16,1184,0,0.72,1,billable
STG002571,VEH002571,P026,YARD_AUS_01,2025-05-19,,29,0,29,21,609,8,232,377,0.97,0,billable
STG002572,VEH002572,P015,YARD_DAL_01,2025-02-09,,53,3,50,25,1250,11,583,667,0.97,1,billable
STG002573,VEH002573,P007,YARD_AUS_01,2025-01-07,2025-02-19,43,3,40,21,840,10,430,410,0.81,1,collected
STG002574,VEH002574,P004,YARD_OKC_01,2025-01-17,,37,0,37,28,1036,10,370,666,0.93,1,billable
STG002575,VEH002575,P040,YARD_AUS_01,2025-01-07,,87,7,80,30,2400,11,957,1443,0.86,1,billable
STG002576,VEH002576,P037,YARD_DAL_01,2025-01-24,2025-03-03,38,3,35,22,770,14,532,238,0.89,1,collected
STG002577,VEH002577,P023,YARD_AUS_01,2025-01-06,2025-02-15,40,7,33,26,858,11,440,418,0.79,1,collected
STG002578,VEH002578,P014,YARD_DAL_01,2025-06-26,2025-08-12,47,0,47,16,752,11,517,235,0.68,1,collected
STG002579,VEH002579,P014,YARD_OKC_01,2025-02-02,2025-04-07,64,0,64,16,1024,14,896,128,1.00,1,collected
STG002580,VEH002580,P020,YARD_HOU_01,2025-06-02,,21,0,21,39,819,14,294,525,0.98,0,billable
STG002581,VEH002581,P005,YARD_AUS_01,2025-05-05,2025-05-27,22,3,19,35,665,6,132,533,0.84,0,collected
STG002582,VEH002582,P010,YARD_AUS_01,2025-06-25,2025-06-30,5,14,0,40,0,7,35,-35,0.65,0,collected
STG002583,VEH002583,P024,YARD_OKC_01,2025-06-21,,29,0,29,29,841,8,232,609,1.13,0,billable
STG002584,VEH002584,P037,YARD_DAL_01,2025-05-29,,30,3,27,22,594,12,360,234,0.64,0,billable
